room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,24,5.0,0,1,3,2,3,41.3213663350373,19.824529050562635,Pazari i Ri,0.939,1,1,10,2025,350.0,0,5.860786223465865,active,premium
Entire home/apt,118,4.91,1,1,2,1,4,41.331983993579165,19.81067910790444,Selvia,1.02,0,1,47,2022,274.0,0,5.616771097666572,established,mid
Entire home/apt,87,4.98,0,2,3,1,4,41.32625276016432,19.81429689201921,Blloku,0.508,1,1,35,2023,328.0,0,5.796057750765372,established,premium
Entire home/apt,150,4.92,0,1,1,1,3,41.33078791301448,19.81944350436861,Blloku,0.374,1,1,60,2020,357.0,1,5.8805329864007,established,premium
Entire home/apt,116,4.99,1,1,2,2,3,41.33244068434698,19.82282850891352,Myslym Shyri,0.715,1,1,46,2022,587.0,0,6.376726947898627,established,luxury
Entire home/apt,14,5.0,1,1,2,1,4,41.324109443920975,19.81132230325549,Blloku,0.901,1,1,6,2025,412.0,0,6.023447592961033,active,premium
Entire home/apt,5,5.0,0,1,2,1,3,41.32285825811577,19.814890355671515,Blloku,0.667,1,1,2,2025,325.0,0,5.786897381366708,early,premium
Entire home/apt,185,4.99,1,1,2,1,3,41.32023,19.81343,Blloku,0.997,1,1,74,2019,329.0,1,5.799092654460526,veteran,premium
Entire home/apt,38,4.87,1,1,1,1,2,41.33069700173305,19.814650118350983,Blloku,0.573,1,1,15,2024,643.0,0,6.467698726104354,active,luxury
Entire home/apt,145,4.86,1,2,3,1,4,41.33371,19.82432,Myslym Shyri,0.93,1,1,58,2021,515.0,0,6.246106765481563,established,luxury
Entire home/apt,172,4.91,1,1,1,1,2,41.323757,19.815785,Blloku,0.527,1,1,69,2020,243.0,1,5.497168225293202,veteran,mid
Entire home/apt,119,4.91,1,1,2,1,3,41.33298,19.82644,Myslym Shyri,1.053,1,1,48,2021,330.0,0,5.802118375377063,established,premium
Entire home/apt,0,4.92,0,1,1,1,2,41.33123047459228,19.81172885745764,Blloku,0.878,1,1,1,2025,297.0,0,5.697093486505405,new,mid
Entire home/apt,42,4.88,1,1,2,1,3,41.322887286814925,19.81749252209016,Blloku,0.529,1,1,17,2024,373.0,0,5.924255797414532,active,premium
Entire home/apt,260,4.85,1,1,1,1,2,41.32285564365512,19.81674123555422,Blloku,0.559,1,1,84,2018,322.0,1,5.777652323222656,veteran,premium
Entire home/apt,248,4.82,1,1,1,1,2,41.32928,19.82053,Pazari i Ri,0.283,1,1,84,2018,327.0,1,5.793013608384144,veteran,premium
Entire home/apt,0,4.92,1,1,1,1,3,41.33456822289453,19.818636886775494,Blloku,0.785,1,1,1,2025,202.0,0,5.313205979041787,new,mid
