name,neighborhood,search_zone,lat,lng,est_start_year
Pazari Terrace Bar @ Enjoy Albania Apartments,Myslym Shyri,Blloku,41.33101,19.824997,2018
Govi Apartment al pieno centro di Tirana,Pazari i Ri,Blloku,41.327549,19.822502,2024
Luxurious Panoramic Apartment,Blloku,Blloku,41.32260081426691,19.81603679814757,2022
Lala’s Central Tirana Apartments 1,Blloku,Blloku,41.33156053574272,19.817036613821983,2025
Central Flat Full Of Sun*Free Underground Parking*,Pazari i Ri,Blloku,41.33154,19.82158,2018
Cozy 2-Bedroom Apartment in the Heart of Blloku,Blloku,Blloku,41.32059,19.81602,2023
Studio Tirana Center,Myslym Shyri,Blloku,41.332198429529,19.82170432806015,2025
Sieras Brand new Apartment,Kombinat,Kombinat,41.31712506532868,19.80178915396728,2023
63’Bs *Condor Studio,Kombinat,Kombinat,41.32402797313999,19.796711839735508,2025
Amazing view near Blloku apartment,Blloku,Kombinat,41.32256342279501,19.80999520321044,2021
Lively Center of Tirana,Kombinat,Kombinat,41.31820191664849,19.80733728664704,2025
Urban Oasis,Kombinat,Kombinat,41.31223693491409,19.803244024515152,2025
Modern Palm Escape with Parking,Kombinat,Kombinat,41.31209792258405,19.802947975695133,2025
Premium 2 Bedrooms Villa Apt | Balcony & Parking,Kombinat,Kombinat,41.311886126181705,19.803024418652058,2025
Luxury Studio,Kombinat,Kombinat,41.31653155421361,19.805723391473293,2024
Unique Luxury SPA & Sauna Apartment - Bllok Tirana,Kombinat,Kombinat,41.32053807811115,19.808179325794963,2023
Urban Escape Apartment,Kombinat,Kombinat,41.31517,19.80717,2023
Luxury Residence 2 Bedroom Luxurious Apartment,Shkoza,Kombinat,41.312935,19.809336,2025
Roza's Apartment Tirana Central,Kombinat,Kombinat,41.31445,19.80762,2024
Urban City Apartment_Deluxe,Blloku,Kombinat,41.32439,19.80778,2024
Floating bed,Kombinat,Kombinat,41.3196032065532,19.80252820547974,2025
Cozy Flat | Quiet & Stylish 1BR near Blloku & Lake,Kombinat,Kombinat,41.31754,19.80749,2024
Luma Duplex Penthouse by Kondo Stays,Kombinat,Kombinat,41.31135,19.80284,2025
Tarraca House,Kombinat,Kombinat,41.3191168429838,19.804714359092728,2025
Rolling Apartment Tirana - Near Blloku,Kombinat,Kombinat,41.32090572355104,19.805972166359425,2024
Cityscape Tirana 2,Kombinat,Kombinat,41.3239519,19.7954421,2025
"Kika Shanti, Studio, near Artificial Lake",Kombinat,Kombinat,41.31782,19.80302,2024
Brand new apartment in a secure building complex,Kombinat,Kombinat,41.316441,19.805449,2018
Fiona’s apartment,Kombinat,Kombinat,41.3214365,19.8080023,2019
Mimosa’s Apartment with lovely balcony,Kombinat,Kombinat,41.316792,19.806656,2023
Comfortable one bedroom apartment in city center,Blloku,Kombinat,41.32445653075354,19.80880078836061,2025
The Exquisite,Kombinat,Kombinat,41.32190762896269,19.792999662458897,2025
Cozy 2 Bedroom apartment!,Kombinat,Kombinat,41.31256,19.80519,2025
Cozy Apartament,Kombinat,Kombinat,41.32132825161479,19.806995764374733,2025
The White Rose Apartment,Blloku,Kombinat,41.32254787111672,19.809877586083136,2021
bianco appartment,Kombinat,Kombinat,41.32203101659137,19.796619974076748,2025
Miku Apartment-Upscale 2BD With  Spectacular View,Kombinat,Kombinat,41.32155041792788,19.807560102008075,2024
Chic Retreat near Tirana's Lake,Kombinat,Kombinat,41.3160138,19.8072865,2023
Central Tirana Oasis – 2nd Floor with Green Views,Kombinat,Kombinat,41.31439813518656,19.804723262786865,2025
Fleeville Vicky's Apartment,Blloku,Kombinat,41.3204857,19.8093127,2025
Nuçi's Place 1 - Warm Apt w/bal. 15 min from Bllok,Kombinat,Kombinat,41.3191625,19.8049844,2024
EL-XHO Apartament  102,Kombinat,Kombinat,41.32391,19.80413,2025
The Capital Apartment's,Kombinat,Kombinat,41.32489,19.80544,2023
Horta’s Home 02,Blloku,Kombinat,41.32459878020691,19.80996698141098,2025
Relaxing Apartment near Botanical Garden & Lake,Shkoza,Kombinat,41.30934037087388,19.805658247049102,2025
New stylish apartment,Kombinat,Kombinat,41.315605423229975,19.80553044875408,2024
Casa del Sol by Kondo Stays,Kombinat,Kombinat,41.3172777325154,19.80563116389312,2025
Cozy Apartment Center in Myslym Shyri,Blloku,Kombinat,41.324243,19.806874,2020
City Center GuestHouse,Kombinat,Kombinat,41.321228,19.8060403,2022
New apartment with huge balcony,Kombinat,Kombinat,41.3160541,19.8057601,2021
B44 Apartment Tirana - Self check-in,Kombinat,Kombinat,41.31687,19.80577,2021
SELA Studios – Central Stay | Self Check-In,Kombinat,Kombinat,41.3182,19.80961,2022
"Tirana Hideaways, Breathtaking View + Free Parking",Shkoza,Kombinat,41.31315344369661,19.80785809457302,2024
Oasis Retreat | Spacious | near Lake & Grand Park,Shkoza,Kombinat,41.31323,19.80694,2020
Traditional Albanian Cabin,Kombinat,Kombinat,41.31401,19.7905,2025
Lana River modern apartment,Kombinat,Kombinat,41.32163,19.7953,2024
"Cityscape Tirana: 2BR Kavaja St, 11 FL, Dajti View",Kombinat,Kombinat,41.3239519,19.7954421,2024
Tera Flat,Kombinat,Kombinat,41.32305962094889,19.794244273369515,2025
"Lovely, Central Apartment  24H Self Check-In",Blloku,Kombinat,41.32330037571304,19.80977696085205,2025
Comfortable studio flat at Smooth Rentals,Kombinat,Kombinat,41.31795,19.80757,2023
Central Luxury apartment by Lake!,Shkoza,Kombinat,41.31295,19.80845,2025
Bright & Spacious 2BR/2BA | City Walkable,Blloku,Kombinat,41.32377567482608,19.80937622487545,2023
Tirana Sunset View Veranda Studio,Kombinat,Kombinat,41.31279,19.80239,2024
Silver Apartments Delijorgji,Kombinat,Kombinat,41.3226626,19.7949085,2025
Amary's home!,Blloku,Kombinat,41.32267950000001,19.8093246,2023
Downtown Ethnica @ Enjoy Albania,Blloku,Kombinat,41.323411543792005,19.809690936770632,2025
Imagination Inn — 2,Blloku,Kombinat,41.32479,19.80854,2020
Urban Luxury Apartment 1,Blloku,Kombinat,41.32443,19.80779,2024
Eja Apartment 4,Kombinat,Kombinat,41.32044,19.80837,2024
Modern Apartment Near The Center With Free Parking,Kombinat,Kombinat,41.32200709305359,19.79674201458693,2025
Spacious Family Apartment in the Centre of Tirana,Kombinat,Kombinat,41.3163014035171,19.807250909507275,2023
TRiPartments - Paris,Blloku,Kombinat,41.32121,19.80995,2020
